U1-1,U1-2,U1-3,U1-4,U1-5,U2-1,U2-2,U2-3,U2-4,U3-1,U3-2,U3-3,U3-4,T1-1,T1-2,T1-3,T1-4,T1-5,T1-6,S1-1,S1-2,S1-3,S1-4,S1-5,S1-6,S1-7,S2-1,S2-2,S2-3,S2-4,S2-5,S2-6,S2-7,F1,F2,F3
Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,Frequently,Often Useful,Often Useful,Often Useful,Often Useful,Often Useful,Often Useful,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,,,
Frequently,Always,Frequently,Frequently,Always,Frequently,Sometimes,Sometimes,Infrequently,Frequently,Sometimes,Frequently,Sometimes,Often Useful,Sometimes Useful,Extremely Useful,Often Useful,Sometimes Useful,Often Useful,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,i would add more AI related assignments.,found it intresting to brainstorm ideas,not majorly
Never,Never,Sometimes,Frequently,Frequently,Never,Sometimes,Never,Frequently,Sometimes,Never,Never,Never,Never Useful,Rarely Useful,Often Useful,Extremely Useful,Never Useful,Never Useful,Agree,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,No i wouldn't,debugging code,no
Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Frequently,Often Useful,Often Useful,,Often Useful,Often Useful,Often Useful,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
Sometimes,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Never,Often Useful,Extremely Useful,Often Useful,Extremely Useful,Often Useful,Often Useful,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Neither Agree Nor Disagree,Disagree,Agree,Disagree,Agree,Neither Agree Nor Disagree,"No I wouldn't, learning how to use AI appropriately is extremely important and this course exercises that very well.","AI is very useful to brainstorm ideas, create mid level to upper level code, and for documentation purposes. AI is bad at working on bigger projects with a lot of moving elements, dealing with certain types of bugs, and is bad at front end web development. ","I wish AI was better at dealing with/helping with bigger projects like software design. It can help with small aspects of the project, but really struggles to link everything together. "
Frequently,Frequently,Sometimes,Frequently,Frequently,Never,Never,Never,Never,Sometimes,Never,Never,Never,Extremely Useful,Extremely Useful,Extremely Useful,Extremely Useful,Sometimes Useful,Sometimes Useful,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Strongly Disagree,Disagree,No. As long as students are forthright with what they used AI for and where. The real world is working with AI and I think it is valuable to learn to work with it  (not necessarily depend on it) to make you a better developer.,I found AI so useful in proofreading code and helping with debugging. It reduced the time allotted to sitting down to find bugs making us reach our product development goals on time,NO
Frequently,Frequently,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Often Useful,Extremely Useful,Often Useful,Sometimes Useful,Never Useful,Never Useful,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,I would change nothing.,I found AI useful for writing code and debugging.,They have not changed.
Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Infrequently,Never,Infrequently,Frequently,Frequently,Infrequently,Never,Often Useful,Often Useful,Sometimes Useful,Extremely Useful,Extremely Useful,Extremely Useful,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,"I would allow full access for thew use of AI technology. At this point, most if not all people use it and it can really help boost progress and understanding. ","I think Ai is useful for a variety of facts in this course. Whether it be breaking down key points from readings or generating a multitude of suggestions of ideas for code, it can be very hepful. ",They havent changed to be honest. I have been a pro AI person since its breakthrough. I just think technology use it making things easier for us as humans and AI is a really good tool to reach that goal. 
Infrequently,Infrequently,Sometimes,Sometimes,Frequently,Infrequently,Sometimes,Infrequently,Sometimes,Frequently,Sometimes,Sometimes,Infrequently,Rarely Useful,Often Useful,Often Useful,Often Useful,Sometimes Useful,Rarely Useful,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Neither Agree Nor Disagree,I am satisfied with the current AI usage rule ,"AI is a great help in our project. it is helpful in quick setting up an environment and explaining us the concepts, also provide simple, easy follow step to implement something we are not familiar of  ","I now have a more optmistic in usage of AI, as long as its in proper use and restriction "
Never,Never,Infrequently,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Rarely Useful,Sometimes Useful,Sometimes Useful,Sometimes Useful,Rarely Useful,Rarely Useful,Neither Agree Nor Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,I would not.,"AI was integral to our groups project, without it the project as it is would effectively not exist.",I can understand how AI can be useful for an individual developer or worker in other fields much better now. 
Frequently,Frequently,Frequently,Frequently,Frequently,Sometimes,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Sometimes,Frequently,Sometimes Useful,Often Useful,Often Useful,Sometimes Useful,Sometimes Useful,Often Useful,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,The AI usage policy is good.,Comparing it with human crafted answers.,
