S1,S2,S3,S4,S5,S6,U1,U2,U3,U4,U5,U6,U7,L1-1,L1-2,L1-3,L1-4,L1-5,L1-6,L2-1,L2-2,L2-3,L2-4,L2-5,L3-1,L3-2,L3-3,L3-4,L3-5,L3-6,L3-7,L3-8,L4-1,L4-2,L4-3,L4-4,L5-1,L5-2,L5-3,L5-4,L5-5,L5-6,L5-7,T1,T2,T3,T4
5,5,1,1,3,1,"Python, C++",Python,OpenAI ChatGPT,OpenAI ChatGPT,OpenAI ChatGPT,OpenAI ChatGPT,"I use generative AI to summarize developer documentation., I use generative AI to explain the data structures for popular libraries and classes., I use generative AI to explain code that other people wrote., I use generative AI to explain interpreter or compiler error messages that I don't understand.",Disagree,Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,
7,8,3,7,6,4,"Python, C++, Ruby on Rails, JavaScript (including Node)",Python,I do not use generative AI to write prose.,I do not use generative AI to write prose.,"OpenAI ChatGPT, GitHub Copilot",OpenAI ChatGPT,"I use generative AI to summarize developer documentation., I use generative AI to explain the data structures for popular libraries and classes., I use generative AI to explain interpreter or compiler error messages that I don't understand.",Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,"Yes, but under certain circumstances. Using it in introductory courses could be detrimental to certain students learning.",Very concisely: Generative AI are trained on massive databases of information to answer questions. They base the answer to a certain question on the information they are trained with.,"AI seems to be used way more than it should be for school work when it is detrimental to learning. There are scenarios where it works really well, like explaining and studying and teaching, but NOT to write your essay for you.","AI code is surprisingly good most of the time. It’s common for it to throw errors if there are updates to certain languages, it often uses older versions. It’s bad at working with big projects, like building an entire website, unless given super specific prompts."
3,3,3,3,3,9-May,"C# (including .NET), JavaScript (including Node)",C# (including .NET),OpenAI ChatGPT,OpenAI ChatGPT,OpenAI ChatGPT,OpenAI ChatGPT,"I use generative AI to summarize developer documentation., I use generative AI to explain the data structures for popular libraries and classes., I use generative AI to explain code that I wrote., I use generative AI to explain code that other people wrote., I use generative AI to explain interpreter or compiler error messages that I don't understand.",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Unable To Answer,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"1) Yes, it's like a 24/7 tutor",n/a,No hesitancy. Don't trust the results completely but definietly use it as a jumping off point. ,It needs whole codebase to fully understand
6,7,2,1,1,1,C++,C++,OpenAI ChatGPT,OpenAI ChatGPT,OpenAI ChatGPT,OpenAI ChatGPT,"I use generative AI to explain the data structures for popular libraries and classes., I use generative AI to explain interpreter or compiler error messages that I don't understand.",Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Strongly Agree,Disagree,Neither Agree Nor Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Agree,Agree,Unable To Answer,Unable To Answer,Unable To Answer,Unable To Answer,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Disagree,Disagree,Disagree,Disagree,,,,
10,10,10,10,8,4,"Python, HTML, CSS, JavaScript (including Node), Java",Java,I do not use generative AI to write prose.,I do not use generative AI to write prose.,"OpenAI ChatGPT, GitHub Copilot",GitHub Copilot,"I use generative AI to summarize developer documentation., I use generative AI to explain code that other people wrote.",Strongly Agree,Disagree,Strongly Agree,Unable To Answer,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Unable To Answer,Unable To Answer,Agree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Strongly Agree,"Yes I believe it should be used in higher education. It should be used in introductory and advanced courses makes learning fun, easier and faster.","Yeah, I think I’ve got a basic understanding of how it works. Generative AI models like GPT are trained on tons of text from the internet, books, articles, and so on. The model looks at patterns in the way words are used and learns to predict what comes next in a sentence. So when you ask it something, it’s not pulling from a database of answers—it’s actually generating responses on the spot, one word at a time, based on what it’s learned. It doesn’t truly “understand” things the way humans do, but it’s surprisingly good at sounding like it does because of how well it’s trained to mimic language.","I don’t personally feel much hesitancy using AI, especially when I see how helpful it can be with things like learning, writing, or organizing my thoughts. But I do understand why some people might be hesitant. A lot of it comes down to trust—like, how do we know the information AI gives us is accurate or unbiased? There's also the worry about privacy, or the fear that AI might replace human jobs. To someone who’s all-in on AI, I’d just say it’s smart to stay cautious, not because AI is bad, but because it's powerful—and powerful tools need thoughtful use. It’s not about fear; it’s about being responsible. To help ease hesitancy, I think showing people how AI can support, not replace, what they’re already doing—and being open about its limitations—goes a long way.","AI-generated code can be surprisingly clean and well-structured, especially for common problems or well-documented tasks. It’s really good at writing boilerplate code, solving standard algorithms, or helping you get unstuck when you’re not sure how to start something. It’s also great for explaining code or fixing simple bugs. But it struggles with more complex, context-heavy tasks—like if your project has a bunch of dependencies or weird edge cases, AI might miss those or make assumptions that don’t really work. Also, sometimes it gives you code that *looks* right but doesn’t actually run, so you still need to test and think critically about it."
8,8,2,8,7,4,"Python, C++, Ruby on Rails, HTML, CSS, JavaScript (including Node), R, SQL",C++,"OpenAI ChatGPT, Google Gemini",OpenAI ChatGPT,"OpenAI ChatGPT, Google Gemini",OpenAI ChatGPT,"I use generative AI to summarize developer documentation., I use generative AI to explain interpreter or compiler error messages that I don't understand.",Agree,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,"Yes, It should.
It could be used in both, but to different degrees.","It reads your question, and gets the keywords in your question. It then searches its database(either the web or pre-installed database) for answers with your keywords in it, and gives you the answer. sometimes it may not provide exactly what you need, so you have to fine tune your question again.","Yes, It can take away creativity if solely depended on. I would say it is a good partner, but never make it the master.","It usually provides optimal code. and tries to tackle all cases which might break the code.
It is especially good at debugging. It struggles sometimes when there are nuances in the code."
9,10,3,10,8,14-Oct,"Python, C++, Ruby on Rails, HTML, CSS, JavaScript (including Node), Java, R, SQL",Python,"OpenAI ChatGPT, Deepseek AI",OpenAI ChatGPT,I do not use generative AI to write code.,I do not use generative AI to write code.,"I use generative AI to summarize developer documentation., I use generative AI to explain code that other people wrote., I use generative AI to explain interpreter or compiler error messages that I don't understand.",Neither Agree Nor Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither Agree Nor Disagree,Agree,"Yes, both.",,"Sometimes, of course, it's very hit or miss.",
4,5,1,5,2,4,"Python, R",Python,"OpenAI ChatGPT, Claude",OpenAI ChatGPT,OpenAI ChatGPT,OpenAI ChatGPT,"I use generative AI to explain code that other people wrote., I use generative AI to explain interpreter or compiler error messages that I don't understand.",Neither Agree Nor Disagree,Agree,Unable To Answer,Unable To Answer,Agree,Unable To Answer,Neither Agree Nor Disagree,Agree,Unable To Answer,Unable To Answer,Neither Agree Nor Disagree,Strongly Agree,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Unable To Answer,Unable To Answer,Unable To Answer,Unable To Answer,Strongly Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Strongly Disagree,Unable To Answer,Strongly Disagree,Agree,Yes ,Yes ,,
8,9,1,9,5,2,"Python, C++, JavaScript (including Node)",Python,OpenAI ChatGPT,OpenAI ChatGPT,OpenAI ChatGPT,OpenAI ChatGPT,"I use generative AI to explain the data structures for popular libraries and classes., I use generative AI to explain code that other people wrote., I use generative AI to explain interpreter or compiler error messages that I don't understand.",Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,,,,"AI-generated code often includes advanced syntax and complex structures. It also tends to use many underscores in variable names. Generative AI is particularly effective at writing well-structured code for common programming tasks, such as algorithms. However, it struggles when adding specific features to a website or an app, especially when requirements are highly customized. AI may not fully understand the user's intention, leading to errors and wrong implementations."
6,8,4,6,8,3,"C++, HTML",HTML,I do not use generative AI to write prose.,I do not use generative AI to write prose.,OpenAI ChatGPT,OpenAI ChatGPT,I do not use generative AI to explain.,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither Agree Nor Disagree,Strongly Disagree,Neither Agree Nor Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,"I think for STEM, it makes some sense to use it. For humanities, not so much. Ideally, advanced courses should be at a level where AI cannot give a student all the answers, and there should be some protocol (if AI is allowed) to check whether students are able to comprehend the work they're submitting. Even if AI is useful, there is a point where all of us become dependent on it instead of being able to think for ourselves.",,,
